Object Kind,X1,Y1,Name,Pin Designator,Pin Type,Description,Width,Componenet Designator,Super Logic Region
Pin,40,0,SEL,1,Power,,,,
Pin,40,-10,PGND1,2,Power,,,,
Pin,40,-20,LX1,3,Power,,,,
Pin,40,-30,PVIN1,4,Power,,,,
Pin,40,-40,PVIN1,5,Power,,,,
Pin,40,-50,LX1,6,Power,,,,
Pin,40,-60,PGND1,7,Power,,,,
Pin,40,-70,PGND1,8,Power,,,,
Pin,40,-80,DVDD1,9,Power,,,,
Pin,40,-90,EN1,10,Power,,,,
Pin,40,-100,FB1,11,Power,,,,
Pin,40,-110,COMP1,12,Power,,,,
Pin,40,-120,NC,13,Power,,,,
Pin,40,-130,NC,14,Power,,,,
Pin,40,-140,NC,15,Power,,,,
Pin,40,-150,DVDD2,16,Power,,,,
Pin,40,-160,PGND2,17,Power,,,,
Pin,40,-170,LX2,18,Power,,,,
Pin,40,-180,PVIN2,19,Power,,,,
Pin,40,-190,NC,20,Power,,,,
Pin,40,-200,NC,21,Power,,,,
Pin,40,-210,NC,22,Power,,,,
Pin,40,-220,COMP2,23,Power,,,,
Pin,40,-230,FB2,24,Power,,,,
Pin,40,-240,EN2,25,Power,,,,
Pin,40,-250,SGND,26,Power,,,,
Pin,40,-260,AVIN,27,Power,,,,
Pin,40,-270,RT,28,Power,,,,
Pin,40,-280,SGND,29,Power,,,,
