s,DDR3_DQ00_U4.E3_NoTerm,DDR3_DQ00_U2.D1_NoTerm
0,0.323169112205505,0.323203682899475
1.1601766769509E-10,0.323169112205505,0.323203682899475
2.32035335390179E-10,0.323183596134186,0.323202848434448
3.48053003085269E-10,0.323196113109589,0.323202639818192
4.64070670780359E-10,0.323195666074753,0.323198884725571
5.80088310719873E-10,0.323197454214096,0.323195815086365
6.96106006170538E-10,0.323199450969696,0.323195844888687
8.12123646110052E-10,0.323198646306992,0.323195844888687
9.28141341560718E-10,0.323196440935135,0.323195517063141
1.04415898150023E-9,0.323196053504944,0.323196142911911
1.16017662143975E-9,0.323196828365326,0.323195666074753
1.27619437240156E-9,0.32319563627243,0.323196768760681
1.39221201234108E-9,0.323195606470108,0.323196321725845
1.50822965228059E-9,0.323196053504944,0.323196709156036
1.6242472922201E-9,0.323196262121201,0.323195844888687
1.74026504318192E-9,0.32319650053978,0.323197185993195
1.85628268312144E-9,0.323196023702621,0.323196321725845
1.97230032306095E-9,0.323196858167648,0.323197185993195
2.08831796300046E-9,0.577932119369507,0.323195278644562
2.20433560293998E-9,1.06280338764191,0.323195844888687
2.32035324287949E-9,1.24054861068726,0.386120200157166
2.43637110486361E-9,1.21496725082397,0.600295960903168
2.55238874480312E-9,1.16785573959351,0.86595755815506
2.66840638474264E-9,0.989506661891937,1.01682138442993
2.78442402468215E-9,0.907025516033173,1.07871687412262
2.90044166462167E-9,0.994428157806396,1.12436652183533
3.01645930456118E-9,1.05827593803406,1.13681924343109
3.1324769445007E-9,1.05990052223206,1.11572563648224
3.24849458444021E-9,1.0907130241394,1.10350954532623
3.36451244642433E-9,1.12371063232422,1.10573148727417
3.48053008636384E-9,1.11476278305054,1.10295736789703
3.59654772630336E-9,1.10195970535278,1.09911155700684
3.71256536624287E-9,1.10855567455292,1.10251641273499
3.82858322822699E-9,1.10923326015472,1.10581362247467
3.9446006461219E-9,1.10165250301361,1.10469841957092
4.06061850810602E-9,1.10209500789642,1.10443568229675
4.17663592600093E-9,1.10638821125031,1.10576200485229
4.29265378798505E-9,1.10512447357178,1.1055645942688
4.40867120587995E-9,1.1035840511322,1.10466551780701
4.52468906786407E-9,1.10525393486023,1.10490226745605
4.64070648575898E-9,1.10586607456207,1.10522842407227
4.7567243477431E-9,1.10468208789825,1.10492324829102
4.87274220972722E-9,1.10468721389771,1.10481595993042
4.98875962762213E-9,1.10532963275909,1.10505533218384
5.10477748960625E-9,0.769313156604767,1.10505831241608
5.22079490750116E-9,0.285613209009171,1.10492992401123
5.33681276948528E-9,0.211757868528366,1.02254855632782
5.45283018738019E-9,0.202186793088913,0.77890944480896
5.56884804936431E-9,0.287634283304214,0.525285482406616
5.68486591134842E-9,0.470012158155441,0.401186287403107
5.80088332924333E-9,0.504721105098724,0.342731922864914
5.91690119122745E-9,0.40650263428688,0.297855019569397
6.03291860912236E-9,0.368656158447266,0.291772574186325
6.14893647110648E-9,0.366342663764954,0.31287470459938
6.26495388900139E-9,0.331339180469513,0.320520162582397
6.38097175098551E-9,0.306500852108002,0.319152563810349
6.49698916888042E-9,0.319261699914932,0.323961555957794
6.61300703086454E-9,0.325258791446686,0.327822625637054
6.72902489284866E-9,0.318259418010712,0.32474684715271
6.84504231074357E-9,0.319622039794922,0.322839140892029
6.96106017272768E-9,0.326207250356674,0.323996365070343
7.07707759062259E-9,0.324538320302963,0.323862850666046
7.19309545260671E-9,0.321883380413055,0.322581946849823
7.30911287050162E-9,0.323430418968201,0.322840094566345
7.42513073248574E-9,0.324420899152756,0.323437482118607
7.54114815038065E-9,0.32284739613533,0.323187559843063
7.65716645645398E-9,0.322678178548813,0.32296234369278
7.77318387434889E-9,0.323493093252182,0.323252230882645
7.8892012922438E-9,0.323388904333115,0.323312133550644
8.00521871013871E-9,0.322897970676422,0.323147535324097
8.12123701621204E-9,0.323167860507965,0.323152005672455
8.23725443410694E-9,0.323354035615921,0.323250889778137
8.35327185200185E-9,0.323176473379135,0.323206841945648
8.46928926989676E-9,0.323102027177811,0.323164314031601
8.58530757597009E-9,0.323247998952866,0.323197036981583
8.701324993865E-9,0.323231369256973,0.323215186595917
8.81734241175991E-9,0.323161900043488,0.323187738656998
8.93336071783324E-9,0.323181867599487,0.323188096284866
9.04937813572815E-9,0.323224186897278,0.323201984167099
9.16539555362306E-9,0.323192864656448,0.323199480772018
9.28141297151797E-9,0.323182672262192,0.323190838098526
9.39743127759129E-9,0.32319974899292,0.323196232318878
9.5134486954862E-9,0.323204219341278,0.323198944330215
9.62946611338111E-9,0.323190093040466,0.323195666074753
9.74548441945444E-9,0.323194205760956,0.323194473981857
9.86150183734935E-9,0.323199421167374,0.323197185993195
9.97751925524426E-9,0.32319700717926,0.323196679353714
1.00935366731392E-8,0.323193430900574,0.323196202516556
