s,DDR3_DQ24_U5.D7_NoTerm,DDR3_DQ24_U2.AA3_NoTerm
0,0.36549973487854,0.365540415048599
9.58187557076329E-11,0.36549973487854,0.365540415048599
1.91637511415266E-10,0.365501552820206,0.365540325641632
2.87456281000686E-10,0.36552157998085,0.365539640188217
3.83275022830531E-10,0.365535318851471,0.365539520978928
4.79093764660377E-10,0.365532159805298,0.365537971258163
5.74912562001373E-10,0.365534067153931,0.365533381700516
6.70731303831218E-10,0.365534573793411,0.36553168296814
7.66550045661063E-10,0.365534991025925,0.365533381700516
8.62368787490908E-10,0.365538626909256,0.365533262491226
9.58187529320753E-10,0.365534514188766,0.365533500909805
1.05400632666175E-9,0.365531504154205,0.365532845258713
1.14982512400275E-9,0.365534394979477,0.365533322095871
1.24564381032144E-9,0.365533530712128,0.365533381700516
1.34146260766244E-9,0.365534722805023,0.365533977746964
1.43728129398113E-9,0.365534394979477,0.365532517433167
1.53310009132213E-9,0.365532398223877,0.365533351898193
1.62891888866312E-9,0.365533083677292,0.365532457828522
1.72473757498182E-9,0.365533530712128,0.365534454584122
1.82055637232281E-9,0.365532368421555,0.365534394979477
1.91637505864151E-9,0.365533113479614,0.365533918142319
2.01219396700481E-9,0.381746917963028,0.365534096956253
2.1080126533235E-9,0.680861949920654,0.365533649921417
2.20383133964219E-9,1.12443387508392,0.365919262170792
2.29965024800549E-9,1.2637882232666,0.37749382853508
2.39546893432419E-9,1.24859035015106,0.476248204708099
2.49128762064288E-9,1.2510906457901,0.70818042755127
2.58710652900618E-9,1.22492516040802,0.940650999546051
2.68292521532487E-9,1.09728682041168,1.05819845199585
2.77874390164357E-9,0.929022610187531,1.10048985481262
2.87456258796226E-9,0.93889057636261,1.1245836019516
2.97038149632556E-9,1.06184184551239,1.15899920463562
3.06620018264425E-9,0.933631718158722,1.18635153770447
3.16201886896295E-9,0.506055653095245,1.16930258274078
3.25783777732624E-9,0.21893347799778,1.1366206407547
3.35365646364494E-9,0.233791261911392,1.07158041000366
3.44947514996363E-9,0.27945664525032,0.888231992721558
3.54529405832693E-9,0.295467644929886,0.645759105682373
3.64111274464562E-9,0.355396896600723,0.483023881912231
3.73693165300892E-9,0.519069015979767,0.41152748465538
3.83275011728301E-9,0.581736922264099,0.385975480079651
3.92856902564631E-9,0.491149604320526,0.363424301147461
4.02438793400961E-9,0.413800925016403,0.330081135034561
4.1202063982837E-9,0.38305327296257,0.328558295965195
4.216025306647E-9,0.392438381910324,0.354809165000916
4.3118442150103E-9,0.404620707035065,0.36829748749733
4.40766267928439E-9,0.36108523607254,0.368994057178497
4.50348158764768E-9,0.336406201124191,0.363236725330353
4.59930049601098E-9,0.356506168842316,0.360809504985809
4.69511896028507E-9,0.366990894079208,0.370199024677277
4.79093786864837E-9,0.372621804475784,0.372515350580215
4.88675677701167E-9,0.366264969110489,0.366170614957809
4.98257524128576E-9,0.353234350681305,0.364172041416168
5.07839414964906E-9,0.365412890911102,0.363847374916077
